subject_area,1979.0,1996.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
Radiologie,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,6,0,0
Messtechnik,0,0,1,0,0,1,0,0,0,0,2,0,0,1,3,1,0,0,3
Betriebswirtschaftslehre,0,0,0,0,0,1,0,0,2,1,0,1,0,0,2,2,2,0,1
Biophysikalische Chemie,0,0,0,0,0,1,2,1,1,1,2,0,0,0,2,0,1,1,0
Chemische Biologie,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,2,1,4
Medizinische Mikrobiologie,0,0,0,1,0,2,1,0,2,2,1,1,0,0,0,0,1,0,1
Infektiologie,0,0,0,1,0,1,0,2,0,0,3,1,0,0,3,0,0,0,1
Ägyptologie,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,2,2,0
Mathematische Physik,0,0,0,0,0,0,0,1,0,2,2,1,0,1,1,0,3,0,0
Wissenschaftsgeschichte,0,0,0,0,0,0,0,2,1,3,0,0,2,0,1,0,1,0,1
Geschichtswissenschaft,0,0,0,1,0,1,1,1,2,1,4,0,0,0,0,0,0,0,0
Biomedizin,0,0,0,0,0,0,0,0,1,1,3,2,1,1,2,0,0,0,0
Erziehungswissenschaften,0,0,0,0,0,0,0,0,3,1,1,1,0,1,0,2,2,0,0
Epidemiologie,0,0,0,0,0,0,0,0,1,3,0,1,0,0,2,1,3,0,0
Bioorganische Chemie,0,0,0,0,0,0,4,1,0,2,0,2,0,0,0,0,1,0,1
Regelungstechnik,0,0,0,0,0,2,1,0,0,0,2,2,0,1,1,1,0,1,0
Kognitionswissenschaften,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,3,1,0,1
Oberflächentechnik,0,0,1,0,0,1,0,0,0,0,1,3,0,1,2,0,0,0,1
Evolutionsbiologie,0,0,0,0,1,0,1,0,0,0,1,1,1,2,0,1,1,0,1
Optik,0,0,0,0,0,1,0,1,1,1,1,1,2,0,0,1,0,0,1
Statistische Physik,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,2,2,1,0
Mittelalterliche Geschichte,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,1,1,1
Ökonometrie,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,0
